1 | MALE | 25 | Too lazy to write an introduction | Programming, Movies, Basketball, Traveling | 10 | 20
2 | FEMALE | 23 | Hi, nice to meet you | Reading, Drawing | 15 | 30
3 | MALE | 28 | Hi, nice to meet you | Music, Running, Photography | 5 | 10
4 | FEMALE | 26 | Let's make friends | Yoga, Drawing, Programming, Technology | 20 | 25
5 | FEMALE | 18 | Let's make friends | Reading, Learning languages, Video games, Photography, Traveling, Cooking | 45 | 3
6 | FEMALE | 31 | Nice to meet you | Reading, Gardening, Programming, Running | 19 | 44
7 | FEMALE | 18 | Nice to meet you | Reading, Learning languages, Movies, Basketball | 20 | 50
8 | MALE | 34 | Let's make friends | Gaming, Cooking, Swimming, Writing, Dancing, Music, Handicrafts | 1 | 50
9 | MALE | 23 | Too lazy to write an introduction | Gaming, Cooking, Running, Hiking, Basketball, Drama, Writing | 40 | 2
10 | MALE | 30 | Too lazy to write an introduction | Gaming, Cooking, Swimming, Movies, Learning languages | 38 | 16
11 | FEMALE | 32 | Nice to meet you | Reading, Learning languages, Wine tasting, Dancing, Basketball, Hiking, Yoga | 47 | 10
12 | MALE | 23 | Hi hi | Gaming, Programming, Gardening, Technology, Photography, Writing, Dancing | 19 | 9
13 | MALE | 25 | Hi hi | Gaming, Cooking, Camping, Movies, Wine tasting, Handicrafts, Gardening | 17 | 16
14 | MALE | 30 | Let's make friends | Gaming, Cooking, Reading, Board games, Writing | 49 | 17
15 | FEMALE | 26 | Let's make friends | Reading, Traveling, Drama, Fishing, Gardening | 43 | 0
16 | FEMALE | 21 | Nice to meet you | Running, Hiking, Learning languages, Dancing, Wine tasting, Yoga, Gardening | 38 | 40
17 | FEMALE | 18 | Hi hi | Reading, Learning languages, Technology, Fishing | 21 | 42
18 | MALE | 26 | Too lazy to write an introduction | Gaming, Cooking, Dancing, Technology, Cooking | 20 | 22
19 | FEMALE | 35 | Nice to meet you | Reading, Traveling, Anime, Cooking | 14 | 22
20 | FEMALE | 21 | Nice to meet you | Running, Hiking, Traveling, Yoga | 16 | 47
